score_phrase,title,score,genre,editors_choice,release_year,release_month,release_day
Amazing,LittleBigPlanet PS Vita,9.0,Platformer,Y,2012,9,12
Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,9.0,Platformer,Y,2012,9,12
Great,Splice: Tree of Life,8.5,Puzzle,N,2012,9,12
Great,NHL 13,8.5,Sports,N,2012,9,11
Good,Total War Battles: Shogun,7.0,Strategy,N,2012,9,11
Awful,Double Dragon: Neon,3.0,Fighting,N,2012,9,11
Amazing,Guild Wars 2,9.0,RPG,Y,2012,9,11
Good,Tekken Tag Tournament 2,7.5,Fighting,N,2012,9,11
Good,Wild Blood,7.0,,N,2012,9,10
Amazing,Mark of the Ninja,9.0,"Action, Adventure",Y,2012,9,7
Okay,Home: A Unique Horror Adventure,6.5,Adventure,N,2012,9,6
Great,Avengers Initiative,8.0,Action,N,2012,9,5
Mediocre,Way of the Samurai 4,5.5,"Action, Adventure",N,2012,9,3
Good,JoJo's Bizarre Adventure HD,7.0,Fighting,N,2012,9,3
Good,Mass Effect 3: Leviathan,7.5,RPG,N,2012,8,31
Amazing,Dark Souls (Prepare to Die Edition),9.0,"Action, RPG",Y,2012,8,31
Good,Symphony,7.0,Shooter,N,2012,8,30
Amazing,Bastion,9.0,"Action, RPG",Y,2012,8,30
Good,Tom Clancy's Ghost Recon Phantoms,7.5,Shooter,N,2012,8,29
Great,Thirty Flights of Loving,8.0,Adventure,N,2012,8,29
Okay,Legasista,6.5,"Action, RPG",N,2012,8,28
Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,9.0,Adventure,Y,2012,8,28
Great,World of Warcraft: Mists of Pandaria,8.7,RPG,Y,2012,10,4
Bad,Hell Yeah! Wrath of the Dead Rabbit,4.9,Platformer,N,2012,10,4
Amazing,Pokemon White Version 2,9.6,RPG,Y,2012,10,3
Good,War of the Roses,7.3,Action,N,2012,10,3
Amazing,Pokemon Black Version 2,9.6,RPG,Y,2012,10,3
Okay,Drakerider,6.5,RPG,N,2012,10,3
Great,Rock Band Blitz,8.5,Music,Y,2012,8,27
Great,Counter-Strike: Global Offensive,8.0,Shooter,N,2012,8,27
Great,Worms Revolution,8.5,Strategy,N,2012,10,2
Amazing,Bad Piggies,9.2,Action,Y,2012,10,1
Good,Resident Evil 6,7.9,"Action, Adventure",N,2012,10,1
Good,Shad'O,7.0,Adventure,N,2012,9,28
Okay,Demon's Score,6.9,Action,N,2012,9,27
